 x_m, y_m, w_tr_right_m, w_tr_left_m
0,0,1.1,1.1
0.007371288264414,-0.36408446776347,1.1,1.1
0.014754672673035,-0.728169081263619,1.1,1.1
0.02214906020078,-1.0922537676321,1.1,1.1
0.029553503559257,-1.45633859973727,1.1,1.1
0.036966982591712,-1.82042350471077,1.1,1.1
0.044388477141424,-2.18450840968427,1.1,1.1
0.051816967051631,-2.54859338752611,1.1,1.1
0.059251432165614,-2.91267821963127,1.1,1.1
0.066690925194952,-3.27676305173643,1.1,1.1
0.074134353114576,-3.64084773810492,1.1,1.1
0.081580768636088,-4.00493227873672,1.1,1.1
0.089029151602739,-4.36901660076352,1.1,1.1
0.096478481857789,-4.73310077705364,1.1,1.1
0.103927739244503,-5.09718466187039,1.1,1.1
0.111375976474476,-5.4612682552138,1.1,1.1
0.118822100522631,-5.82535155708385,1.1,1.1
0.12626509123222,-6.18943449461221,1.1,1.1
0.133704074183195,-6.55351706779888,1.1,1.1
0.141137883482121,-6.91759913090717,1.1,1.1
0.148565571840608,-7.28168082967378,1.1,1.1
0.155986119101915,-7.64576201836201,1.1,1.1
0.1633985051093,-8.00984262410353,1.1,1.1
0.170801782574351,-8.37392271976668,1.1,1.1
0.178194931340348,-8.73800223248313,1.1,1.1
0.185576858382193,-9.10208101651619,1.1,1.1
0.192946616411495,-9.46615921760255,1.1,1.1
0.200303185271505,-9.83023669000551,1.1,1.1
0.207645544805498,-10.1943134337251,1.1,1.1
0.214972747725052,-10.5583894487613,1.1,1.1
0.222283701005106,-10.9224645893774,1.1,1.1
0.229577384488911,-11.2865389284418,1.1,1.1
0.236852850888063,-11.6506123930861,1.1,1.1
0.244109080045826,-12.0146849104421,1.1,1.1
0.25134505180546,-12.378756553378,1.1,1.1
0.258559746010216,-12.7428271761571,1.1,1.1
0.265752142503369,-13.1068967787795,1.1,1.1
0.272921293996504,-13.4709652883768,1.1,1.1
0.280066107464547,-13.8350327778174,1.1,1.1
0.287185635619097,-14.1990991742329,1.1,1.1
0.294278858303414,-14.5631643318866,1.1,1.1
0.301344682492415,-14.9272283236469,1.1,1.1
0.308382233766036,-15.2912911495139,1.1,1.1
0.315390419099208,-15.6553526637507,1.1,1.1
0.322368291203518,-16.0194129392257,1.1,1.1
0.329314684185554,-16.3834718302023,1.1,1.1
0.336228796493589,-16.7475294095489,1.1,1.1
0.343109462234211,-17.1115855315286,1.1,1.1
0.34995580698735,-17.4756402690099,1.1,1.1
0.356766664859592,-17.8396935491245,1.1,1.1
0.36354116143087,-18.2037452990039,1.1,1.1
0.370289862610285,-18.5677950814382,1.1,1.1
0.377209002833683,-18.9318342250951,1.1,1.1
0.384642302054246,-19.2958480834384,1.1,1.1
0.392937925193799,-19.6598214998539,1.1,1.1
0.402443891437488,-20.023739536332,1.1,1.1
0.413508219970474,-20.387587181995,1.1,1.1
0.426478929977903,-20.7513494259652,1.1,1.1
0.441704040644936,-21.1150111844965,1.1,1.1
0.459531716893398,-21.478557446711,1.1,1.1
0.480309832171755,-21.8419732745995,1.1,1.1
0.504386551401855,-22.2052436572841,1.1,1.1
0.532109820900494,-22.5683534381505,1.1,1.1
0.563827732721175,-22.9312877520575,1.1,1.1
0.599883423870361,-23.2940178160114,1.1,1.1
0.640581629740079,-23.6564075119557,1.1,1.1
0.686209160111046,-24.0182705155487,1.1,1.1
0.737052751895666,-24.37941999237,1.1,1.1
0.793399069137983,-24.7396691079996,1.1,1.1
0.855534703013708,-25.0988312466223,1.1,1.1
0.923746390435236,-25.4567195009496,1.1,1.1
0.99832079544662,-25.8131472551664,1.1,1.1
1.07954465496024,-26.1679276748524,1.1,1.1
1.16770456015182,-26.5208739255876,1.1,1.1
1.26308717506541,-26.8717993915567,1.1,1.1
1.36597923661339,-27.2205171654712,1.1,1.1
1.47666507705298,-27.5668399028327,1.1,1.1
1.59532723157239,-27.9105484885468,1.1,1.1
1.72200891109638,-28.2513807423315,1.1,1.1
